date,state,district,crop_type,crop_species,production
2017-01-01,Johor,Batu Pahat,cash_crops,cassava,920.5
2017-01-01,Johor,Batu Pahat,cash_crops,groundnuts,0.0
2017-01-01,Johor,Batu Pahat,cash_crops,sweet_corn,0.0
2017-01-01,Johor,Batu Pahat,cash_crops,sweet_potato,350.0
2017-01-01,Johor,Batu Pahat,cash_crops,yam,395.4
2017-01-01,Johor,Batu Pahat,cash_crops,yambean,0.0
2017-01-01,Johor,Batu Pahat,cash_crops,yellow_sugar_cane,0.0
2017-01-01,Johor,Batu Pahat,fruit,banana,9856.11
2017-01-01,Johor,Batu Pahat,fruit,cempedak,118.68
2017-01-01,Johor,Batu Pahat,fruit,ciku,0.0
2017-01-01,Johor,Batu Pahat,fruit,dokong,28.0
2017-01-01,Johor,Batu Pahat,fruit,dragon_fruit,134.0
2017-01-01,Johor,Batu Pahat,fruit,duku,210.0
2017-01-01,Johor,Batu Pahat,fruit,durian,9886.7
2017-01-01,Johor,Batu Pahat,fruit,guava,1799.1
2017-01-01,Johor,Batu Pahat,fruit,jackfruit,268.77
2017-01-01,Johor,Batu Pahat,fruit,langsat,0.0
2017-01-01,Johor,Batu Pahat,fruit,mango,2.5
2017-01-01,Johor,Batu Pahat,fruit,mangosteen,0.0
2017-01-01,Johor,Batu Pahat,fruit,papaya,15952.85
2017-01-01,Johor,Batu Pahat,fruit,pineapple,28108.732
2017-01-01,Johor,Batu Pahat,fruit,pomelo,0.0
2017-01-01,Johor,Batu Pahat,fruit,pulasan,6.5
2017-01-01,Johor,Batu Pahat,fruit,rambutan,259.0
2017-01-01,Johor,Batu Pahat,fruit,salak,0.0
2017-01-01,Johor,Batu Pahat,fruit,starfruit,292.6
2017-01-01,Johor,Batu Pahat,fruit,sweet_orange,0.0
2017-01-01,Johor,Batu Pahat,fruit,watermelon,0.0
2017-01-01,Johor,Batu Pahat,herbs,aloe_vera,0.0
2017-01-01,Johor,Batu Pahat,herbs,basil,0.0
2017-01-01,Johor,Batu Pahat,herbs,belalai_gajah,0.0
2017-01-01,Johor,Batu Pahat,herbs,betel_vine,0.0
2017-01-01,Johor,Batu Pahat,herbs,bonglai,0.0
2017-01-01,Johor,Batu Pahat,herbs,cekur,0.6
2017-01-01,Johor,Batu Pahat,herbs,fragrant_lemon_grass,41.9
2017-01-01,Johor,Batu Pahat,herbs,henna,0.0
2017-01-01,Johor,Batu Pahat,herbs,lemon_myrtle,0.1
2017-01-01,Johor,Batu Pahat,herbs,long_jack,0.0
2017-01-01,Johor,Batu Pahat,herbs,misai_kucing,0.0
2017-01-01,Johor,Batu Pahat,herbs,mistletoe_fig,0.0
2017-01-01,Johor,Batu Pahat,herbs,pandan,0.0
2017-01-01,Johor,Batu Pahat,herbs,pegaga,0.0
2017-01-01,Johor,Batu Pahat,herbs,petai,0.0
2017-01-01,Johor,Batu Pahat,herbs,swamp_willow_weed,0.0
2017-01-01,Johor,Batu Pahat,herbs,temu_lawak,0.0
2017-01-01,Johor,Batu Pahat,herbs,tenggek_burung,0.0
2017-01-01,Johor,Batu Pahat,industrial_crops,areca_nut,0.0
2017-01-01,Johor,Batu Pahat,industrial_crops,coconut,45000.0
2017-01-01,Johor,Batu Pahat,industrial_crops,coffee,1974.8422
2017-01-01,Johor,Batu Pahat,industrial_crops,honey_bee,0.0
2017-01-01,Johor,Batu Pahat,industrial_crops,kelulut_bee,0.0
2017-01-01,Johor,Batu Pahat,industrial_crops,mushroom,1.2
2017-01-01,Johor,Batu Pahat,industrial_crops,roselle,7.1
2017-01-01,Johor,Batu Pahat,spices,asam_gelugor,0.0
2017-01-01,Johor,Batu Pahat,spices,asam_jawa,0.0
2017-01-01,Johor,Batu Pahat,spices,black_pepper,0.0
2017-01-01,Johor,Batu Pahat,spices,calamondin_lime,1815.4
2017-01-01,Johor,Batu Pahat,spices,curry_tree,0.0
2017-01-01,Johor,Batu Pahat,spices,ginger,0.0
2017-01-01,Johor,Batu Pahat,spices,greater_galangal,140.2
2017-01-01,Johor,Batu Pahat,spices,kaffir_lime,0.0
2017-01-01,Johor,Batu Pahat,spices,lemon_grass,249.3
2017-01-01,Johor,Batu Pahat,spices,lime,1.4
2017-01-01,Johor,Batu Pahat,spices,pink_cone_ginger,54.7
2017-01-01,Johor,Batu Pahat,spices,turmeric,0.0
2017-01-01,Johor,Batu Pahat,spices,water_celery,0.0
2017-01-01,Johor,Batu Pahat,vegetable,angled_loofah,459.387
2017-01-01,Johor,Batu Pahat,vegetable,birds_eye_chili,10.6
2017-01-01,Johor,Batu Pahat,vegetable,bitter_gourd,2922.9
2017-01-01,Johor,Batu Pahat,vegetable,bottle_gourd,23.2
2017-01-01,Johor,Batu Pahat,vegetable,brinjal,3683.08
2017-01-01,Johor,Batu Pahat,vegetable,celery,0.0
2017-01-01,Johor,Batu Pahat,vegetable,chinese_chives,0.0
2017-01-01,Johor,Batu Pahat,vegetable,chinese_kale,353.036
2017-01-01,Johor,Batu Pahat,vegetable,chinese_spinach,0.0
2017-01-01,Johor,Batu Pahat,vegetable,cucumber,3392.268
2017-01-01,Johor,Batu Pahat,vegetable,dwarf_bitter_gourd,7.5
2017-01-01,Johor,Batu Pahat,vegetable,fourangled_bean,3.905
2017-01-01,Johor,Batu Pahat,vegetable,french_bean,83.66
2017-01-01,Johor,Batu Pahat,vegetable,ladys_finger,4621.52
2017-01-01,Johor,Batu Pahat,vegetable,lettuce,0.0
2017-01-01,Johor,Batu Pahat,vegetable,long_bean,6431.59
2017-01-01,Johor,Batu Pahat,vegetable,mustard,912.93
2017-01-01,Johor,Batu Pahat,vegetable,pumpkin,14.86
2017-01-01,Johor,Batu Pahat,vegetable,red_chilli,1798.745
2017-01-01,Johor,Batu Pahat,vegetable,spring_onion,0.0
2017-01-01,Johor,Batu Pahat,vegetable,sweet_shoot,0.0
2017-01-01,Johor,Batu Pahat,vegetable,tomato,0.0
2017-01-01,Johor,Batu Pahat,vegetable,water_spinach,0.0
2017-01-01,Johor,Batu Pahat,vegetable,wax_gourd,40.3
2017-01-01,Johor,Johor Bahru,cash_crops,cassava,7708.8
2017-01-01,Johor,Johor Bahru,cash_crops,groundnuts,0.0
2017-01-01,Johor,Johor Bahru,cash_crops,sweet_corn,11.8
2017-01-01,Johor,Johor Bahru,cash_crops,sweet_potato,287.0
2017-01-01,Johor,Johor Bahru,cash_crops,yam,24.5
2017-01-01,Johor,Johor Bahru,cash_crops,yambean,0.0
2017-01-01,Johor,Johor Bahru,cash_crops,yellow_sugar_cane,378.1
2017-01-01,Johor,Johor Bahru,fruit,banana,5198.9262
2017-01-01,Johor,Johor Bahru,fruit,cempedak,88.6
2017-01-01,Johor,Johor Bahru,fruit,ciku,41.5
2017-01-01,Johor,Johor Bahru,fruit,dokong,35.7
2017-01-01,Johor,Johor Bahru,fruit,dragon_fruit,0.0
2017-01-01,Johor,Johor Bahru,fruit,duku,122.655
2017-01-01,Johor,Johor Bahru,fruit,durian,1225.1
2017-01-01,Johor,Johor Bahru,fruit,guava,152.9
2017-01-01,Johor,Johor Bahru,fruit,jackfruit,93.15201
2017-01-01,Johor,Johor Bahru,fruit,langsat,0.0
2017-01-01,Johor,Johor Bahru,fruit,mango,0.0
2017-01-01,Johor,Johor Bahru,fruit,mangosteen,10.5
2017-01-01,Johor,Johor Bahru,fruit,papaya,405.6
2017-01-01,Johor,Johor Bahru,fruit,pineapple,4375.8285
2017-01-01,Johor,Johor Bahru,fruit,pomelo,0.0
2017-01-01,Johor,Johor Bahru,fruit,pulasan,11.935
2017-01-01,Johor,Johor Bahru,fruit,rambutan,593.453
2017-01-01,Johor,Johor Bahru,fruit,salak,0.0
2017-01-01,Johor,Johor Bahru,fruit,starfruit,0.0
2017-01-01,Johor,Johor Bahru,fruit,sweet_orange,240.5774
2017-01-01,Johor,Johor Bahru,fruit,watermelon,0.0
2017-01-01,Johor,Johor Bahru,herbs,aloe_vera,0.1
2017-01-01,Johor,Johor Bahru,herbs,basil,0.0
2017-01-01,Johor,Johor Bahru,herbs,belalai_gajah,0.0
2017-01-01,Johor,Johor Bahru,herbs,betel_vine,0.0
2017-01-01,Johor,Johor Bahru,herbs,bonglai,0.0
2017-01-01,Johor,Johor Bahru,herbs,cekur,0.0
2017-01-01,Johor,Johor Bahru,herbs,fragrant_lemon_grass,81.2
2017-01-01,Johor,Johor Bahru,herbs,henna,0.0
2017-01-01,Johor,Johor Bahru,herbs,lemon_myrtle,0.0
2017-01-01,Johor,Johor Bahru,herbs,long_jack,0.0
2017-01-01,Johor,Johor Bahru,herbs,misai_kucing,0.0
2017-01-01,Johor,Johor Bahru,herbs,mistletoe_fig,0.0
2017-01-01,Johor,Johor Bahru,herbs,pandan,0.0
2017-01-01,Johor,Johor Bahru,herbs,pegaga,0.0
2017-01-01,Johor,Johor Bahru,herbs,petai,0.0
2017-01-01,Johor,Johor Bahru,herbs,swamp_willow_weed,0.0
2017-01-01,Johor,Johor Bahru,herbs,temu_lawak,0.0
2017-01-01,Johor,Johor Bahru,herbs,tenggek_burung,0.0
2017-01-01,Johor,Johor Bahru,industrial_crops,areca_nut,0.0
2017-01-01,Johor,Johor Bahru,industrial_crops,coconut,957.564
2017-01-01,Johor,Johor Bahru,industrial_crops,coffee,0.0
2017-01-01,Johor,Johor Bahru,industrial_crops,honey_bee,0.0
2017-01-01,Johor,Johor Bahru,industrial_crops,kelulut_bee,0.0
2017-01-01,Johor,Johor Bahru,industrial_crops,mushroom,158.25467
2017-01-01,Johor,Johor Bahru,industrial_crops,roselle,0.0
2017-01-01,Johor,Johor Bahru,spices,asam_gelugor,0.0
2017-01-01,Johor,Johor Bahru,spices,asam_jawa,0.0
2017-01-01,Johor,Johor Bahru,spices,black_pepper,5.9
2017-01-01,Johor,Johor Bahru,spices,calamondin_lime,590.1
2017-01-01,Johor,Johor Bahru,spices,curry_tree,0.0
2017-01-01,Johor,Johor Bahru,spices,ginger,0.0
2017-01-01,Johor,Johor Bahru,spices,greater_galangal,0.0
2017-01-01,Johor,Johor Bahru,spices,kaffir_lime,0.0
2017-01-01,Johor,Johor Bahru,spices,lemon_grass,2003.3
2017-01-01,Johor,Johor Bahru,spices,lime,0.0
2017-01-01,Johor,Johor Bahru,spices,pink_cone_ginger,3.6
2017-01-01,Johor,Johor Bahru,spices,turmeric,0.0
2017-01-01,Johor,Johor Bahru,spices,water_celery,0.0
2017-01-01,Johor,Johor Bahru,vegetable,angled_loofah,2049.987
2017-01-01,Johor,Johor Bahru,vegetable,birds_eye_chili,135.9115
2017-01-01,Johor,Johor Bahru,vegetable,bitter_gourd,0.0
2017-01-01,Johor,Johor Bahru,vegetable,bottle_gourd,0.0
2017-01-01,Johor,Johor Bahru,vegetable,brinjal,2143.2774
2017-01-01,Johor,Johor Bahru,vegetable,celery,485.51
2017-01-01,Johor,Johor Bahru,vegetable,chinese_chives,1451.493
2017-01-01,Johor,Johor Bahru,vegetable,chinese_kale,5154.331
